
----------------------------------------------- [START 2024-09-03 22:25:47] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
   9.0  |  1.769  86.676  13.451  92.417  |   0.033  98.662  |  90.810   9.177  95.823  |  0 hr 26 min   0
  10.0  |  2.450  89.078  10.522  94.418  |   0.031  98.735  |  90.810   9.177  95.823  |  0 hr 29 min   0
  11.0  |  3.090  86.061   9.382  97.178  |   0.029  98.814  |  90.810   9.177  95.823  |  0 hr 32 min   0
  12.0  |  3.855  83.184  11.389  95.951  |   0.028  98.884  |  90.810   9.177  95.823  |  0 hr 35 min   0
  13.0  |  2.398  88.687   8.646  96.330  |   0.026  98.942  |  88.687   8.646  96.330  |  0 hr 38 min   0
  14.0  |  2.777  85.531  10.137  96.487  |   0.025  98.999  |  88.687   8.646  96.330  |  0 hr 41 min   0
  15.0  |  3.166  85.475  10.861  95.148  |   0.024  99.036  |  88.687   8.646  96.330  |  0 hr 44 min   0
  16.0  |  2.596  88.436   8.644  97.014  |   0.023  99.077  |  88.436   8.644  97.014  |  0 hr 47 min   0
  17.0  |  3.580  83.883  10.741  95.671  |   0.022  99.116  |  88.436   8.644  97.014  |  0 hr 50 min   0
  18.0  |  5.672  65.196  22.184  89.327  |   0.022  99.139  |  88.436   8.644  97.014  |  0 hr 52 min   0
  19.0  |  2.317  89.190   8.597  96.465  |   0.021  99.169  |  89.190   8.597  96.465  |  0 hr 55 min   0
  20.0  |  2.643  86.425   9.580  95.891  |   0.020  99.194  |  89.190   8.597  96.465  |  0 hr 59 min   0
  21.0  |  3.351  81.927  12.332  93.216  |   0.020  99.222  |  89.190   8.597  96.465  |  1 hr 02 min   0
  22.0  |  2.590  85.810  10.599  94.859  |   0.019  99.243  |  89.190   8.597  96.465  |  1 hr 04 min   0
  23.0  |  5.637  69.497  19.448  90.251  |   0.019  99.266  |  89.190   8.597  96.465  |  1 hr 07 min   0
  24.0  |  3.373  84.218  10.797  95.020  |   0.018  99.281  |  89.190   8.597  96.465  |  1 hr 10 min   0
  25.0  |  3.075  84.721  10.484  95.143  |   0.018  99.297  |  89.190   8.597  96.465  |  1 hr 13 min   0
  26.0  |  5.089  87.877  18.479  93.097  |   0.018  99.315  |  89.190   8.597  96.465  |  1 hr 16 min   0
  27.0  |  4.250  77.682  14.079  94.876  |   0.017  99.325  |  89.190   8.597  96.465  |  1 hr 19 min   0
  28.0  |  3.204  84.218  10.267  96.189  |   0.017  99.342  |  89.190   8.597  96.465  |  1 hr 22 min   0
  29.0  |  3.988  79.022  13.402  95.751  |   0.017  99.354  |  89.190   8.597  96.465  |  1 hr 25 min   0
  30.0  |  4.717  90.978  12.252  94.380  |   0.016  99.369  |  89.190   8.597  96.465  |  1 hr 28 min   0
  31.0  |  4.387  90.140   9.012  93.918  |   0.016  99.382  |  89.190   8.597  96.465  |  1 hr 31 min   0
  32.0  |  4.198  81.201  13.633  92.854  |   0.016  99.384  |  89.190   8.597  96.465  |  1 hr 34 min   0
  33.0  |  2.603  88.156   9.878  95.214  |   0.016  99.397  |  89.190   8.597  96.465  |  1 hr 37 min   0
  34.0  |  2.242  88.436  11.135  94.296  |   0.015  99.408  |  89.190   8.597  96.465  |  1 hr 40 min   0
  35.0  |  3.818  79.078  16.176  90.117  |   0.015  99.420  |  89.190   8.597  96.465  |  1 hr 43 min   0
  36.0  |  5.090  72.067  18.217  92.229  |   0.015  99.430  |  89.190   8.597  96.465  |  1 hr 46 min   0
  37.0  |  5.285  70.810  18.577  90.953  |   0.015  99.442  |  89.190   8.597  96.465  |  1 hr 49 min   0
  38.0  |  4.054  80.587  12.956  95.141  |   0.014  99.448  |  89.190   8.597  96.465  |  1 hr 52 min   0
  39.0  |  3.054  84.246  10.568  95.572  |   0.014  99.459  |  89.190   8.597  96.465  |  1 hr 55 min   0
  40.0  |  3.349  86.173   9.525  96.810  |   0.014  99.467  |  89.190   8.597  96.465  |  1 hr 58 min   0

----------------------------------------------- [START 2024-09-04 02:21:19] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|
   1.0  |  1.099  90.531   9.510  94.696  |   0.180  91.552  |  90.531   9.510  94.696  |  0 hr 02 min   0
   2.0  |  1.055  88.240  11.734  93.297  |   0.105  95.307  |  90.531   9.510  94.696  |  0 hr 05 min   0
   3.0  |  1.253  88.939  10.980  94.879  |   0.075  96.691  |  90.531   9.510  94.696  |  0 hr 08 min   0
   4.0  |  2.223  85.419  14.765  92.161  |   0.062  97.339  |  90.531   9.510  94.696  |  0 hr 11 min   0
   5.0  |  1.015  86.201  13.800  94.188  |   0.052  97.775  |  90.531   9.510  94.696  |  0 hr 14 min   0
   6.0  |  2.539  88.827  11.368  94.895  |   0.046  98.068  |  90.531   9.510  94.696  |  0 hr 17 min   0
   7.0  |  2.500  84.777  15.166  91.557  |   0.042  98.268  |  90.531   9.510  94.696  |  0 hr 20 min   0
   8.0  |  0.929  90.922   9.054  96.654  |   0.039  98.402  |  90.922   9.054  96.654  |  0 hr 23 min   0
   9.0  |  1.250  90.475   9.439  96.171  |   0.036  98.526  |  90.922   9.054  96.654  |  0 hr 25 min   0
  10.0  |  1.771  91.564   8.759  96.319  |   0.033  98.634  |  91.564   8.759  96.319  |  0 hr 28 min   0
  11.0  |  0.920  90.838   9.159  96.949  |   0.031  98.736  |  91.564   8.759  96.319  |  0 hr 31 min   0
  12.0  |  2.205  90.642   8.380  96.541  |   0.030  98.795  |  90.642   8.380  96.541  |  0 hr 34 min   0
  13.0  |  2.600  88.408  10.039  95.726  |   0.028  98.864  |  90.642   8.380  96.541  |  0 hr 37 min   0
  14.0  |  2.658  85.950  10.247  96.635  |   0.026  98.934  |  90.642   8.380  96.541  |  0 hr 40 min   0
  15.0  |  1.097  90.419   9.580  96.055  |   0.025  98.985  |  90.642   8.380  96.541  |  0 hr 43 min   0
  16.0  |  3.520  79.609  13.566  93.268  |   0.024  99.031  |  90.642   8.380  96.541  |  0 hr 46 min   0
  17.0  |  2.018  89.609   9.078  96.432  |   0.023  99.075  |  90.642   8.380  96.541  |  0 hr 48 min   0
  18.0  |  2.997  84.106  10.973  94.827  |   0.022  99.113  |  90.642   8.380  96.541  |  0 hr 51 min   0
  19.0  |  1.538  90.279   9.826  95.603  |   0.021  99.142  |  90.642   8.380  96.541  |  0 hr 54 min   0
  20.0  |  2.903  84.832  14.230  91.768  |   0.021  99.162  |  90.642   8.380  96.541  |  0 hr 57 min   0
  21.0  |  2.667  87.067  13.313  93.418  |   0.021  99.183  |  90.642   8.380  96.541  |  1 hr 00 min   0
  22.0  |  3.974  80.196  13.677  93.120  |   0.020  99.206  |  90.642   8.380  96.541  |  1 hr 03 min   0
  23.0  |  4.229  78.380  14.597  93.269  |   0.020  99.233  |  90.642   8.380  96.541  |  1 hr 06 min   0
  24.0  |  3.080  85.307  11.973  93.537  |   0.019  99.254  |  90.642   8.380  96.541  |  1 hr 09 min   0
  25.0  |  3.619  84.469  10.799  95.242  |   0.019  99.276  |  90.642   8.380  96.541  |  1 hr 12 min   0
  26.0  |  4.654  78.883  13.436  96.187  |   0.018  99.295  |  90.642   8.380  96.541  |  1 hr 15 min   0
  27.0  |  2.623  86.397  12.512  93.149  |   0.018  99.307  |  90.642   8.380  96.541  |  1 hr 18 min   0
  28.0  |  3.645  81.816  12.507  94.352  |   0.018  99.323  |  90.642   8.380  96.541  |  1 hr 21 min   0
  29.0  |  3.303  83.352  11.231  95.149  |   0.017  99.338  |  90.642   8.380  96.541  |  1 hr 24 min   0
  30.0  |  5.499  69.860  19.169  94.742  |   0.017  99.354  |  90.642   8.380  96.541  |  1 hr 27 min   0
  31.0  |  3.559  86.620   9.723  96.334  |   0.017  99.364  |  90.642   8.380  96.541  |  1 hr 30 min   0
  32.0  |  2.678  88.128  11.008  94.776  |   0.016  99.374  |  90.642   8.380  96.541  |  1 hr 33 min   0
  33.0  |  2.367  88.128   9.153  96.503  |   0.016  99.382  |  90.642   8.380  96.541  |  1 hr 36 min   0
  34.0  |  3.792  79.860  13.515  92.974  |   0.016  99.396  |  90.642   8.380  96.541  |  1 hr 39 min   0
  35.0  |  3.443  81.676  12.330  94.910  |   0.016  99.406  |  90.642   8.380  96.541  |  1 hr 42 min   0
  36.0  |  2.776  85.307  10.330  96.861  |   0.015  99.419  |  90.642   8.380  96.541  |  1 hr 45 min   0
  37.0  |  4.454  89.944  16.183  94.506  |   0.015  99.432  |  90.642   8.380  96.541  |  1 hr 48 min   0
  38.0  |  5.270  71.648  17.895  92.608  |   0.015  99.442  |  90.642   8.380  96.541  |  1 hr 51 min   0
  39.0  |  1.801  89.050  10.910  95.468  |   0.014  99.452  |  90.642   8.380  96.541  |  1 hr 54 min   0
  40.0  |  4.877  88.883  16.898  93.629  |   0.014  99.460  |  90.642   8.380  96.541  |  1 hr 57 min   0

----------------------------------------------- [START 2024-09-04 04:18:51] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|
   1.0  |  0.567  82.905  17.075  91.182  |   0.172  92.260  |  82.905  17.075  91.182  |  0 hr 03 min   0
   2.0  |  1.551  87.989  12.208  93.230  |   0.100  95.698  |  87.989  12.208  93.230  |  0 hr 06 min   0
   3.0  |  2.405  86.983  13.843  93.167  |   0.072  96.931  |  87.989  12.208  93.230  |  0 hr 09 min   0
   4.0  |  1.890  87.793  12.277  93.294  |   0.059  97.539  |  87.989  12.208  93.230  |  0 hr 12 min   0
   5.0  |  2.286  88.547  12.284  94.831  |   0.051  97.919  |  87.989  12.208  93.230  |  0 hr 15 min   0
   6.0  |  2.920  84.134  12.493  92.333  |   0.045  98.170  |  87.989  12.208  93.230  |  0 hr 18 min   0
   7.0  |  1.545  89.581  10.314  95.078  |   0.040  98.372  |  89.581  10.314  95.078  |  0 hr 20 min   0
   8.0  |  2.839  86.592  10.270  94.398  |   0.038  98.495  |  86.592  10.270  94.398  |  0 hr 23 min   0
   9.0  |  2.193  86.453  13.856  91.163  |   0.035  98.631  |  86.592  10.270  94.398  |  0 hr 26 min   0
  10.0  |  1.633  89.916  10.317  94.272  |   0.032  98.729  |  86.592  10.270  94.398  |  0 hr 29 min   0
  11.0  |  2.370  87.793  11.217  93.235  |   0.031  98.801  |  86.592  10.270  94.398  |  0 hr 32 min   0
  12.0  |  1.771  88.045  12.121  93.374  |   0.029  98.872  |  86.592  10.270  94.398  |  0 hr 35 min   0
  13.0  |  2.620  87.821  11.571  93.038  |   0.028  98.922  |  86.592  10.270  94.398  |  0 hr 38 min   0
  14.0  |  3.436  85.335  10.842  94.160  |   0.026  98.979  |  86.592  10.270  94.398  |  0 hr 41 min   0
  15.0  |  2.615  86.453  11.524  93.578  |   0.025  99.024  |  86.592  10.270  94.398  |  0 hr 44 min   0
  16.0  |  2.251  88.631  11.755  94.994  |   0.024  99.056  |  86.592  10.270  94.398  |  0 hr 46 min   0
  17.0  |  3.927  80.000  13.322  94.985  |   0.024  99.091  |  86.592  10.270  94.398  |  0 hr 49 min   0
  18.0  |  5.261  69.441  19.536  91.167  |   0.023  99.120  |  86.592  10.270  94.398  |  0 hr 52 min   0
  19.0  |  2.570  89.330   7.927  97.471  |   0.022  99.151  |  89.330   7.927  97.471  |  0 hr 55 min   0
  20.0  |  4.273  79.050  14.285  94.586  |   0.021  99.181  |  89.330   7.927  97.471  |  0 hr 58 min   0
  21.0  |  4.562  73.966  16.661  93.965  |   0.021  99.209  |  89.330   7.927  97.471  |  1 hr 01 min   0
  22.0  |  4.882  72.626  17.285  94.032  |   0.020  99.234  |  89.330   7.927  97.471  |  1 hr 04 min   0
  23.0  |  3.710  79.832  13.903  94.133  |   0.019  99.255  |  89.330   7.927  97.471  |  1 hr 07 min   0
  24.0  |  3.456  81.955  12.473  94.900  |   0.019  99.277  |  89.330   7.927  97.471  |  1 hr 09 min   0
  25.0  |  2.102  88.911   9.990  95.844  |   0.018  99.295  |  89.330   7.927  97.471  |  1 hr 12 min   0
  26.0  |  1.475  91.285   8.775  97.149  |   0.018  99.310  |  89.330   7.927  97.471  |  1 hr 15 min   0
  27.0  |  1.459  90.698   9.352  96.762  |   0.018  99.327  |  89.330   7.927  97.471  |  1 hr 18 min   0
  28.0  |  2.072  88.827   8.665  97.404  |   0.017  99.341  |  89.330   7.927  97.471  |  1 hr 21 min   0
  29.0  |  3.364  83.575  11.092  96.587  |   0.017  99.355  |  89.330   7.927  97.471  |  1 hr 24 min   0
  30.0  |  3.519  81.704  12.259  96.852  |   0.017  99.371  |  89.330   7.927  97.471  |  1 hr 27 min   0
  31.0  |  2.850  87.011   9.161  97.633  |   0.016  99.385  |  89.330   7.927  97.471  |  1 hr 30 min   0
  32.0  |  3.925  80.056  13.446  95.325  |   0.016  99.396  |  89.330   7.927  97.471  |  1 hr 32 min   0
  33.0  |  1.688  91.983   6.961  97.793  |   0.016  99.408  |  91.983   6.961  97.793  |  1 hr 35 min   0
  34.0  |  3.010  84.693  10.660  96.256  |   0.015  99.420  |  91.983   6.961  97.793  |  1 hr 38 min   0
  35.0  |  3.219  83.212  11.636  96.188  |   0.015  99.435  |  91.983   6.961  97.793  |  1 hr 41 min   0
  36.0  |  1.575  87.207  12.802  94.468  |   0.015  99.435  |  91.983   6.961  97.793  |  1 hr 44 min   0
  37.0  |  1.465  90.391   9.544  96.281  |   0.015  99.443  |  91.983   6.961  97.793  |  1 hr 47 min   0
  38.0  |  3.819  81.201  12.096  96.681  |   0.015  99.453  |  91.983   6.961  97.793  |  1 hr 50 min   0
  39.0  |  2.088  90.251   7.617  97.288  |   0.014  99.463  |  91.983   6.961  97.793  |  1 hr 53 min   0
  40.0  |  3.732  80.615  12.833  96.420  |   0.014  99.474  |  91.983   6.961  97.793  |  1 hr 55 min   0

----------------------------------------------- [START 2024-09-04 06:14:50] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|
   1.0  |  0.975  88.743  11.261  93.988  |   0.172  91.917  |  88.743  11.261  93.988  |  0 hr 02 min   0
   2.0  |  2.336  87.654  12.629  91.106  |   0.102  95.458  |  88.743  11.261  93.988  |  0 hr 05 min   0
   3.0  |  1.809  88.715  10.960  93.901  |   0.074  96.774  |  88.715  10.960  93.901  |  0 hr 08 min   0
   4.0  |  1.710  89.972  10.335  95.607  |   0.059  97.458  |  89.972  10.335  95.607  |  0 hr 11 min   0
   5.0  |  1.983  89.637  10.438  95.041  |   0.051  97.858  |  89.972  10.335  95.607  |  0 hr 14 min   0
   6.0  |  0.954  92.430   7.530  97.322  |   0.045  98.142  |  92.430   7.530  97.322  |  0 hr 17 min   0
   7.0  |  3.473  83.883  13.815  91.469  |   0.040  98.333  |  92.430   7.530  97.322  |  0 hr 20 min   0
   8.0  |  2.039  87.682  12.506  93.422  |   0.038  98.469  |  92.430   7.530  97.322  |  0 hr 22 min   0
   9.0  |  2.670  86.061  13.145  92.320  |   0.035  98.576  |  92.430   7.530  97.322  |  0 hr 25 min   0
  10.0  |  3.483  83.743  11.782  93.421  |   0.033  98.663  |  92.430   7.530  97.322  |  0 hr 28 min   0
  11.0  |  2.073  90.587   8.733  96.294  |   0.031  98.754  |  92.430   7.530  97.322  |  0 hr 31 min   0
  12.0  |  4.871  71.369  18.493  93.467  |   0.029  98.831  |  92.430   7.530  97.322  |  0 hr 34 min   0
  13.0  |  3.767  77.933  15.353  92.151  |   0.028  98.895  |  92.430   7.530  97.322  |  0 hr 37 min   0
  14.0  |  1.716  91.341   8.846  96.831  |   0.026  98.953  |  92.430   7.530  97.322  |  0 hr 40 min   0
  15.0  |  3.605  80.028  13.516  93.291  |   0.025  99.000  |  92.430   7.530  97.322  |  0 hr 43 min   0
  16.0  |  3.372  82.179  12.493  93.868  |   0.024  99.049  |  92.430   7.530  97.322  |  0 hr 45 min   0
  17.0  |  4.142  79.721  13.072  95.176  |   0.023  99.086  |  92.430   7.530  97.322  |  0 hr 48 min   0
  18.0  |  1.671  91.313   8.439  97.215  |   0.022  99.123  |  92.430   7.530  97.322  |  0 hr 51 min   0
  19.0  |  2.917  84.916  13.330  93.955  |   0.022  99.144  |  92.430   7.530  97.322  |  0 hr 54 min   0
  20.0  |  5.983  62.989  23.243  92.703  |   0.021  99.175  |  92.430   7.530  97.322  |  0 hr 57 min   0
  21.0  |  1.211  91.397   8.652  96.175  |   0.021  99.197  |  92.430   7.530  97.322  |  1 hr 00 min   0
  22.0  |  4.404  76.397  15.198  94.909  |   0.020  99.218  |  92.430   7.530  97.322  |  1 hr 03 min   0
  23.0  |  2.522  87.374   9.730  96.733  |   0.020  99.239  |  92.430   7.530  97.322  |  1 hr 05 min   0
  24.0  |  3.738  81.480  12.929  95.558  |   0.019  99.258  |  92.430   7.530  97.322  |  1 hr 08 min   0
  25.0  |  4.445  76.927  14.708  96.286  |   0.019  99.276  |  92.430   7.530  97.322  |  1 hr 11 min   0
  26.0  |  4.380  75.754  16.129  93.105  |   0.018  99.293  |  92.430   7.530  97.322  |  1 hr 14 min   0
  27.0  |  2.014  90.251   8.465  96.527  |   0.018  99.304  |  92.430   7.530  97.322  |  1 hr 17 min   0
  28.0  |  3.531  82.514  12.125  94.147  |   0.018  99.317  |  92.430   7.530  97.322  |  1 hr 20 min   0
  29.0  |  2.682  86.648  10.077  94.329  |   0.018  99.331  |  92.430   7.530  97.322  |  1 hr 23 min   0
  30.0  |  5.750  69.385  19.147  93.526  |   0.017  99.348  |  92.430   7.530  97.322  |  1 hr 26 min   0
  31.0  |  4.366  76.899  14.938  92.580  |   0.017  99.360  |  92.430   7.530  97.322  |  1 hr 29 min   0
  32.0  |  5.056  72.346  17.406  93.718  |   0.016  99.375  |  92.430   7.530  97.322  |  1 hr 32 min   0
  33.0  |  2.086  91.369   7.397  97.241  |   0.016  99.389  |  91.369   7.397  97.241  |  1 hr 35 min   0
  34.0  |  4.245  78.827  13.630  94.706  |   0.016  99.402  |  91.369   7.397  97.241  |  1 hr 38 min   0
  35.0  |  2.820  85.866  10.458  95.735  |   0.015  99.415  |  91.369   7.397  97.241  |  1 hr 41 min   0
  36.0  |  7.352  86.397  12.088  91.299  |   0.015  99.427  |  91.369   7.397  97.241  |  1 hr 44 min   0
  37.0  |  3.002  94.358   8.819  97.264  |   0.015  99.436  |  91.369   7.397  97.241  |  1 hr 47 min   0
  38.0  |  1.497  91.508   8.529  96.910  |   0.015  99.440  |  91.369   7.397  97.241  |  1 hr 50 min   0
  39.0  |  2.692  86.732   9.176  97.030  |   0.015  99.447  |  91.369   7.397  97.241  |  1 hr 52 min   0
  40.0  |  3.289  92.849  12.675  96.872  |   0.014  99.457  |  91.369   7.397  97.241  |  1 hr 55 min   0
